Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - All the same ethnic background,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All the same ethnic background' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - Definitely agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely agree' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - Definitely disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely disagree' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - Neither agree nor disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Neither agree nor disagree' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q12 - To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? - Too few people in local area,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Too few people in local area' to the question: To what extent do you agree or disagree that your local area is a place where people from different backgrounds get on well together? 
Q13 - To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? - Definitely agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely agree' to the question: To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? 
Q13 - To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? - Definitely disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely disagree' to the question: To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? 
Q13 - To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? 
Q13 - To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area? 
"Q14 - Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? - Fairly likely",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Fairly likely' to the question: Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? "
"Q14 - Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? - Not at all likely",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not at all likely' to the question: Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? "
"Q14 - Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? - Not very Likely",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not very Likely' to the question: Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? "
"Q14 - Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? - Very likely",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Very likely' to the question: Over the next 12 months, and when it is safe to do so, how likely, if at all, might you be to get involved with others in your local area to make improvements? "
Q15 - Would you say in general your health is…? Tick one box only - Bad,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bad' to the question: Would you say in general your health is…? Tick one box only 
Q15 - Would you say in general your health is…? Tick one box only - Fair,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Fair' to the question: Would you say in general your health is…? Tick one box only 
Q15 - Would you say in general your health is…? Tick one box only - Good,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Good' to the question: Would you say in general your health is…? Tick one box only 
Q15 - Would you say in general your health is…? Tick one box only - Very bad,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Very bad' to the question: Would you say in general your health is…? Tick one box only 
Q15 - Would you say in general your health is…? Tick one box only - Very good,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Very good' to the question: Would you say in general your health is…? Tick one box only 
"Q16 - Do you, or have you ever, smoked? Tick one box only - No",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'No' to the question: Do you, or have you ever, smoked? Tick one box only "
"Q16 - Do you, or have you ever, smoked? Tick one box only - Yes, but I no longer smoke",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, but I no longer smoke' to the question: Do you, or have you ever, smoked? Tick one box only "
"Q16 - Do you, or have you ever, smoked? Tick one box only - Yes, I currently smoke",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, I currently smoke' to the question: Do you, or have you ever, smoked? Tick one box only "
"Q17 - Do you use, or have you ever used, e-cigarettes?  Tick one box only - No, I have never used e-cigarettes",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'No, I have never used e' to the question: Do you use, or have you ever used, ecigarettes?  Tick one box only "
"Q17 - Do you use, or have you ever used, e-cigarettes?  Tick one box only - Yes, but I no longer use e-cigarettes",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, but I no longer use e' to the question: Do you use, or have you ever used, ecigarettes?  Tick one box only "
"Q17 - Do you use, or have you ever used, e-cigarettes?  Tick one box only - Yes, I currently use e-cigarettes",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, I currently use e' to the question: Do you use, or have you ever used, ecigarettes?  Tick one box only "
Q18 - How many portions of fruit or vegetables would you say you eat in a typical day? - About one portion,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'About one portion' to the question: How many portions of fruit or vegetables would you say you eat in a typical day? 
"Q18 - How many portions of fruit or vegetables would you say you eat in a typical day? - At least 3 portions, but less than 5 portions",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'At least 3 portions, but less than 5 portions' to the question: How many portions of fruit or vegetables would you say you eat in a typical day? "
Q18 - How many portions of fruit or vegetables would you say you eat in a typical day? - At least 5 portions,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'At least 5 portions' to the question: How many portions of fruit or vegetables would you say you eat in a typical day? 
