survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Not stated, please specify","Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,"Not stated, please specify",Which of the following best describes your religion?,"Not stated, please specify",Please indicate your ethnic origin and cultural background:,Ethnic Group,Nearly there! Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,"Yes, my confidence has increased",Agree,Not sure,Good,Often,Often,Rarely,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,5,"Yes, my confidence has increased",Agree,Agree,Good,All of the time,Often,Often,Often,Often,Often,Often,Not at all strongly,Not at all strongly,Tend to agree,Fairly satisfied,Not sure,Good,Agree,Good,Good,Excellent,No Response,At home/not seeking work- (looking after the home or family),No Response,Yes limited a little,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,1,0,1,Only sometimes
,2,"No, my confidence has not increased",Agree,Disagree,Very bad,Some of the time,Rarely,Rarely,Rarely,Rarely,None of the time,Some of the time,Not very strongly,Fairly strongly,Tend to disagree,Fairly dissatisfied,"No, it doesn't improve wellbeing",Poor,Not sure,Good,Good,Good,No Response,In full time paid work,No Response,Yes limited a lot,45-54,Female,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,"Quite often,"
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,9,"Yes, my confidence has increased",Agree,Agree,Very good,All of the time,Often,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Poor,Poor,Excellent,No Response,In full-time education,No Response,Not at all,16-24,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,3,0,0,Never
,6,Not sure,Agree,Not sure,Very good,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Good,Agree,Good,Good,Not Sure,Good,In part time paid work,No Response,Not at all,65-74,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,0,0,0,1,1,No Response,Never
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,All of the time,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Not Sure,Agree,Good,Good,Good,Good,In full time paid work,No Response,Not at all,55-64,Male,Co-habiting,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,3,0,0,Never
,9,"Yes, my confidence has increased",Strongly agree,Agree,Good,Some of the time,Often,Rarely,Some of the time,Often,Often,Often,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Excellent,Excellent,In full time paid work,No Response,Not at all,35-44,Prefer not to say,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other Asian Background,Any other ethnic group,0,0,0,0,1,0,0,Only sometimes
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,Fair,Some of the time,Some of the time,All of the time,Often,All of the time,Often,Often,Very strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,At home/not seeking work- (looking after the home or family),No Response,Yes limited a little,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,2,0,0,Only sometimes
,8,"No, my confidence has not increased",Agree,Agree,Good,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Not very strongly,Fairly strongly,Tend to disagree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,Self-employed,No Response,Not at all,55-64,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,4,0,0,Only sometimes
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Not Sure,Strongly disagree,Excellent,No Response,Excellent,No Response,At home/not seeking work- (looking after the home or family),No Response,Not at all,55-64,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,Never
,7,"Yes, my confidence has increased",Agree,Not sure,Very good,Often,Often,All of the time,No Response,All of the time,No Response,Often,Fairly strongly,Fairly strongly,No Response,No Response,Not sure,Good,Not sure,No Response,Good,Good,No Response,Retired,No Response,Not at all,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
,7,"Yes, my confidence has increased",Agree,Agree,Fair,Often,No Response,Some of the time,Some of the time,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Excellent,Good,Good,In part time paid work,No Response,Yes limited a lot,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,3,No Response,No Response,Prefer not to say
,6,"No, my confidence has not increased",Agree,Not sure,Good,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Not Sure,Disagree,Not Sure,Not Sure,Good,No Response,In full time paid work,No Response,Not at all,45-54,Non-binary,Divorced,Bisexual,No Response,No religion,No Response,White â€“ British,White British,0,0,1,0,1,0,0,Only sometimes
,No Response,"Yes, my confidence has increased",Agree,Not sure,Very good,Often,Often,Often,Often,Often,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,8,"Yes, my confidence has increased",Agree,Strongly agree,Good,Often,Often,Often,Often,All of the time,Some of the time,All of the time,Very strongly,No Response,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,Good,Good,Excellent,No Response,Other (please specify),Mixture of retired and doing paid casual work and voluntary work ,Not at all,55-64,Female,Widowed,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,1,0,0,Only sometimes
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Often,Often,Some of the time,Some of the time,Some of the time,Often,All of the time,Fairly strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Not Sure,Good,Good,In part time paid work,No Response,Not at all,45-54,Female,Separated but still legally married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,1,0,"Quite often,"
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,Very good,Often,Some of the time,Some of the time,Often,All of the time,Rarely,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,Excellent,Excellent,Good,In full time paid work,No Response,Not at all,25-34,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,0,"Quite often,"
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Not sure,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,Good,Excellent,Not Sure,In full time paid work,No Response,Not at all,35-44,Male,Married,Heterosexual,No Response,Hindu,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,0,1,1,2,0,0,Never
,4,No Response,Agree,Disagree,Very good,Often,Often,Often,All of the time,Often,Often,All of the time,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Disagree,Not Sure,Not Sure,Good,No Response,Retired,No Response,Not at all,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,0,0,0,0,2,Never
,7,Not sure,Agree,Not sure,Very good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Not very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,At home/not seeking work- (looking after the home or family),No Response,Not at all,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,3,0,0,Never
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,0 - Not at all likely,"No, my confidence has not increased",Disagree,Disagree,Good,Rarely,Rarely,Some of the time,Often,Rarely,None of the time,Some of the time,Not very strongly,Fairly strongly,Tend to disagree,Very satisfied,"No, it doesn't improve wellbeing",Not Sure,Not sure,Not Sure,Not Sure,Not Sure,No Response,Retired,No Response,Not at all,No Response,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,No Response,No Response,No Response,No Response,No Response,No Response,Never
,No Response,"No, my confidence has not increased",Disagree,No Response,Very good,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,7,"No, my confidence has not increased",Agree,Agree,Very good,Often,Often,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,In full time paid work,No Response,Not at all,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,0,0,0,1,0,0,Never
,7,"Yes, my confidence has increased",Agree,Agree,Fair,Often,Some of the time,All of the time,Often,Often,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Not Sure,Agree,Good,Good,Good,No Response,Retired,No Response,Yes limited a little,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,2,"Quite often,"
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Often,Often,All of the time,Often,Often,All of the time,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,No Response,In full time paid work,No Response,Not at all,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,1,0,No Response,Only sometimes
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,3,"No, my confidence has not increased",Agree,Strongly disagree,Very bad,Some of the time,Rarely,None of the time,None of the time,None of the time,Rarely,None of the time,Fairly strongly,Not very strongly,Tend to agree,Fairly satisfied,"No, it doesn't improve wellbeing",Very Poor,Strongly agree,Very Poor,Very Poor,Very Poor,No Response,No Response,No Response,Yes limited a little,No Response,Female,No Response,No Response,No Response,No Response,No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"Quite often,"
,7,Not sure,Agree,Not sure,Fair,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,Not very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Not Sure,Disagree,Poor,Poor,Good,Poor,Retired,No Response,Yes limited a little,75 and over,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,2,Never
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,No Response,No Response,No Response,Yes limited a little,25-34,Female,Single (never married and never registered a same sex civil partnership),Other (please specify),Straight ,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,0,Never
,2,"No, my confidence has not increased",Disagree,Disagree,Very good,No Response,No Response,No Response,No Response,No Response,No Response,Often,Fairly strongly,Fairly strongly,Definitely disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Very Poor,Disagree,Very Poor,Very Poor,Very Poor,No Response,Retired,No Response,Yes limited a little,65-74,Female,Widowed,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,0,Prefer not to say
,7,"Yes, my confidence has increased",Agree,Not sure,Prefer not to say,Often,Often,Often,Some of the time,Often,Often,Often,Fairly strongly,Very strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Not Sure,No Response,Registered unemployed/signing on for job seekers allowance,No Response,Yes limited a little,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,0,Only sometimes
