Event,Programme,Venue,Venue Postcode,Commercial or Non-Commercial?,Co-Created,"Free Event, or Paid Event",Streamed on Social Media or Broadcast,Box Office,First Performance,No. of Performances
Coventry Opens: Rene and The Renegades   ,Coventry Opens,The Gatehouse Tavern,CV1 4AN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Funny Turns, with Dave Moylan",Coventry Opens,Albany Theatre,CV5 6JQ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Mod Story,Coventry Opens,The Albany Club,CV5 6EG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Machine Memoirs Space Preview (During Coventry Opens),Commercial Programme - The Reel Store,The Reel Store,CV1 1GU,Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,06/05/2022,Exhibition
Stompin Dave,Love Coventry,"The Village Butty, Coventry Canal Basin",CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,06/05/2022,1
Theatre Next Door: Komedy of Errors,Love Coventry,"Indian Community Centre, Coventry",CV6 5GP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,06/05/2022,Multiple
Sophie Duker: Hag (Work in Progress),Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,06/05/2022,1
Nothello,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,07/05/2022,16
BPSO Schools Showcase,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,07/05/2022,1
Coventry Presents: British Police Symphony Orchestra,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,07/05/2022,1
Theatre Next Door: Flotsam and Jetsam,Love Coventry,Earlsdon Carnegie Community Library,CV5 6FZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,07/05/2022,Multiple
Tom Moore and Archie Moss,Love Coventry,"The Village Butty, Coventry Canal Basin",CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,07/05/2022,1
Variety Club 4 Kids,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,07/05/2022,14
CineCov presents Rudy A Coventry Premiere,CineCov,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,08/05/2022,1
Lindsey Santoro: Work In Progress,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,08/05/2022,1
Susie McCabe: Work In Progress,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,08/05/2022,1
Bernie Dieter's Club Kabarett,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,11/05/2022,16
Ewan Bleach Piano Marathon,Love Coventry,"The Village Butty, Coventry Canal Basin",CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,12/05/2022,1
Ewan Bleach Quintet,Love Coventry,"The Village Butty, Coventry Canal Basin",CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,13/05/2022,1
Gratte Ciel The Awakening,City of Culture Main Programme,Broadgate,CV1 1FS,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,13/05/2022,2
Machine Memoirs Space,Commercial Programme - The Reel Store,The Reel Store,CV1 1GU,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,13/05/2022,Exhibition
Séayoncé: Res-Erection: Work in Progress,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,13/05/2022,2
This Is The City,City of Culture Main Programme,Coventry City Centre,CV1 1FS,Non-Commercial,Co-Created,Free Event,Streamed,Unticketed,14/05/2022,1
Our Wilder Family,Green Futures,War Memorial Park,CV3 6PT,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,15/05/2022,1
Tullamore Irish Dance Class,Love Coventry,Christ the King Community Centre,CV6 2AA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,16/05/2022,1
Machine Memoirs Space (School Visits),Commercial Programme - The Reel Store,The Reel Store,CV1 1GU,Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,18/05/2022,Exhibition
The Choir of Man,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,18/05/2022,29
Love Ireland: Learn Gaelic,Love Coventry,Central Methodist Hall,CV1 2HA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/05/2022,1
Wildlife Gathering: Foraging and Folklore for World Bee Day,Green Futures,Nauls Mill Underpark,CV1 4AR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,20/05/2022,1
Wildlife Gathering: Walk With Me 1 Spon End Live,Green Futures,"Langar Aid House, Coventry",CV1 3AR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,20/05/2022,1
Wildlife Gathering: Wild Earth Allotment Day,Green Futures,"Lake View Allotments, Coventry",CV5 8GG,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,20/05/2022,1
Wildlife Gathering: Moss Murals Walking Trail,Green Futures,Coventry City Centre,CV1 3AZ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,20/05/2022,1
Wildlife Gathering: Willenhall Green Spaces,Green Futures,"Willenhall Education, Employment and Training Centre",CV3 3AN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,20/05/2022,1
Wildlife Gathering: Thee Bees by Artizani,Green Futures,Broadgate and Upper Precinct,CV1 1LN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,20/05/2022,2
Wildlife Gathering: CineCov presente The Lion King Family Workshops,Green Futures,"Edgewick Park, Coventry",CV6 5LB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,21/05/2022,1
Wildlife Gathering: Folklore and Animal Tales,Green Futures,Nauls Mill Underpark,CV1 4AR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,21/05/2022,1
Grand African Ball,City of Culture Supported Programme,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,21/05/2022,1
Love Ireland,Love Coventry,Drapers Hall,CV1 5RN,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,21/05/2022,1
Theatre Next Door: Ben the Juggler,Love Coventry,St Mark's Coventry,CV1 5FX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,21/05/2022,Multiple
Ellie Gowers,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,21/05/2022,1
Wildlife Gathering: Discovering Two Rivers - The Atuel and The Sherbourne,Green Futures,"Anglican Chapel, London Road Cemetery",CV1 2JT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Live and Dye Micro Exhibition,Green Futures,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Food Union Soil To Table Site Tour,Green Futures,"Food Union CV5 Site, Coventry",CV5 8DH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Peace Orchard Walkabout,Green Futures,Peace Orchard,CV6 2EH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Rub A Bug In The Garden,Green Futures,The Weaver's House,CV1 3BQ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,2
Wildlife Gathering: Celebrating The Hidden Beauty of Gosford Park,Green Futures,Gosford Park,CV3 1JB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: BYO Picnic in Allesley Park Walled Garden,Green Futures,Allesley Park Walled Garden,CV5 9RD,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Friends of Holbrooks Park,Green Futures,Holbrooks Community Care Association,CV6 4DE,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Mirrored Cultural Exchange,Green Futures,Primrose Hill Park,CV1 5JT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Celebrate Swanswell,Green Futures,Swanswell Park,CV1 4FF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Resting Places In Green Spaces,Green Futures,Holy Trinity Church,CV1 1LN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Community Sensory Garden - Learn About Companion Planting,Green Futures,War Memorial Park,CV3 6PT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Animals by Dens and Signals,Green Futures,Wyken Croft Nature Park,CV2 1JT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Let’s Celebrate World Bee Day,Green Futures,Hawkesbury Junction,CV6 6DF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Brandon Marsh,Green Futures,Brandon Marsh,CV3 3GW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,2
Wildlife Gathering: Creative Kindness Crafts Workshop,Green Futures,Oasis Community Hub and Café,CV1 3BL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,-
Wildlife Gathering: Minibeasts Workshops by WWT,Green Futures,Brandon Marsh,CV3 3GW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Pond Workshops by WWT,Green Futures,Brandon Marsh,CV3 3GW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/05/2022,1
Wildlife Gathering: Sound Seat: A Sensory Experience for War Memorial Park,Green Futures,War Memorial Park,CV3 6PT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/05/2022,1
Wildlife Gathering: The Edible Orchestra,Green Futures,War Memorial Park,CV3 6PT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/05/2022,1
Wildlife Gathering: Botanical Bunting in the Sensory Garden,Green Futures,War Memorial Park,CV3 6PT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/05/2022,1
"Wildlife Gathering: Wonder, Gather and Create",Green Futures,FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/05/2022,1
Wildlife Gathering: Charterhouse Reveals,Green Futures,Charterhouse Heritage Park,CV1 2JR,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/05/2022,1
Wildlife Gathering: All Things Herby,Green Futures,Holbrooks Community Care Association,CV6 4DE,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/05/2022,1
Wildlife Gathering: Virtual Wildlife Gathering,Green Futures,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,22/05/2022,1
The Coventry Model - Embracing Co-creation Conference,Love Coventry,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,Registrations,26/05/2022,1
Frankenstein: How to Make a Monster,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,26/05/2022,3
BBC Radio 1 Big Weekend,City of Culture Main Programme,War Memorial Park,CV3 6PT,Commercial,Not Co-Created,Paid Event,N/A,Ticketmaster,27/05/2022,1
TheaTheatre Next Door: Dangerous Dave (Foleshill),Love Coventry,Foleshill Community Centre,CV6 5AJ,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,28/05/2022,Multiple
Theatre Next Door: Dangerous Dave (Hagard Community Centre),Love Coventry,"The Hagard Community Centre, Coventry",CV3 3DG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,28/05/2022,Multiple
This is Africa Celebrating Africa Day,City of Culture Supported Programme,"Square One, The Hub",CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,28/05/2022,1
Song and Soil Green Futures,Green Futures,"Food Union CV5 Site, Coventry",CV5 8DH,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,29/05/2022,1
Good Neighbours Songwriting Project,Love Coventry,The Welcome Centre,CV1 2HG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,30/05/2022,1
The Show Windows: Believe what you seed by Ashton Attzs,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1LH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Boundless Hope by Ella and Abby Clarke,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1HF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Carrying Hope by Erin Aniker,Visual Arts Programme - Street Art,Coventry City Centre,CV1 2LZ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Contours of Coventry by Intervention Architecture for RIBA,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1QL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: COSMIC FUTURE by Evans Mbugua,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1NF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Cov as Oz by Ben Javens,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1GF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Coventry Phoenix Priding by Adam Nathaniel Furman at,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1LH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Creative Spark by Matt Chinn at Primark,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1HG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Deeds not Words by Katrina Russell Adams,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1DX,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Dream Hawaii by Hyunjeong Lim, Primark",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1HG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Dreamscape by Edie Jo Murray,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Emancipate Yuhself by Karen McLean,Visual Arts Programme - Street Art,Coventry City Centre,CV1 2PL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Emergence by Sameer Kulavoor,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1DL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Five AR experiences by Emma Critchley, Vishwa Shroff, Tarla Patel, Yermine Richardson and Sameer Kulavoor",Visual Arts Programme - Street Art,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,-,-
The Show Windows: Friendly Forest by Sharon Walters,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Gensler, produced by RIBA West Midlands",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1LF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Geoffrey Clarke, Dame Elisabeth Frink, Käthe Kollwitz, George Shaw",Visual Arts Programme - Street Art,Coventry City Centre,CV1 3HW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Government Art Collection, curated by Carriers of Hope, with Quiet Down There, as part of The Show Windows: Reflections with Historic England",Visual Arts Programme - Street Art,Coventry City Centre,CV1 3HW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: in friendly chat with birds or beasts by Vishwa Shroff,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1GF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Infinity Doors by MAMIMU (June Mineyama-Smithson),Visual Arts Programme - Street Art,Coventry City Centre,CV1 1DE,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Jacks Frogs - Dancing Frogs by Jack Foulkes,Visual Arts Programme - Street Art,Coventry City Centre,CV3 1AZ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Lighthouse by NEON, Cat Ballou",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1HN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: ONE Creative, produced by RIBA West Midlands",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1LL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: RIBA Schools Window: Happiness by Mila Karia, Earlsdon Primary, Archer Bassett",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1LB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: RIBA Schools Window: The Butterfly of Hope by Stella Whelan, Coundon Court, Cafe Morso",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1GF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: RIBA Schools Window: The Phoenix of Light by Franco Poretta,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5RE,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Spotlights featuring Sadie Aspinall, Gary Eite, Michala Gyetvai, Tammy Woodrow",Visual Arts Programme - Street Art,Coventry City Centre,CV1 1QX,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Surround In by Liz West,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1HL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: The Show Windows: Reflections: Caroline Broadhead, Susie Freeman, Adi Toch & Nicola Tree, Freddie Robins, Claire Curneen, Simone Brewster, Tomoko Azumi and Ann Sutton with Crafts Council and Francesca Robson",Visual Arts Programme - Street Art,Coventry City Centre,CV1 3HW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"The Show Windows: Theo Wright, Indira Lakshmi, Tarla Patel, Tom Godwin and Polly Merredew",Visual Arts Programme - Street Art,Coventry City Centre,CV1 3JB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: We come in Peace by Yermine Richardson,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1DE,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
The Show Windows: Women at Rest by Kemi Onabule,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Atmosphere by Nomad Clan,Visual Arts Programme - Street Art,Coventry City Centre,CV1 2HN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Be Kind by Creative Kindness,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Community Love by Carleen Desozer,Visual Arts Programme - Street Art,Coventry City Centre,CV1 3BB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"In Paint We Trust - Diversity - ""threads of hope and empathy, choke the throat of prejudice. Age old web of injustice. Dissected. Unpicked, Reworked. Into a tapestry of humanity"" by Alan Van Wijgerden & Kirsty Brewerton",Visual Arts Programme - Street Art,Coventry City Centre,CV1 2FL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Electric Futures by Dan Kitchener,Visual Arts Programme - Street Art,Coventry City Centre,CV1 4AG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Hope by David Speed,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1AJ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"In Paint We Trust - Innovation by Crom, Void and Epic",Visual Arts Programme - Street Art,Coventry City Centre,CV1 3JH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Ira Aldridge by Dreph,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
"In Paint We Trust - Katie O, Coventry Peace Orchard",Visual Arts Programme - Street Art,Coventry City Centre,CV7 8NJ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - N4T4,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5LZ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Psychedelic Eye by Daub,Visual Arts Programme - Street Art,Coventry City Centre,CV1 2FL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Roots,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Sophie Mess,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5FD,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Young Artists in Coventry and Bogota from Youthful Cities Programme,Visual Arts Programme - Street Art,Coventry City Centre,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
In Paint We Trust - Zabou,Visual Arts Programme - Street Art,Coventry City Centre,CV1 1JN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Abundance Lantern Workshops,Love Coventry,Foleshill Community Centre,CV6 5AJ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Anthony Luvera Agency,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,-,-
Budgeting and Bid Writing Workshop ,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,-,-
Community Connectors: Creative Wellness Project ,Love Coventry,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Community Training: Intro to Audience Development ,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,-,-
Coventry Biennial Co-Creation Workshops,Visual Arts Programme - Coventry Biennial,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Days of Doing,Green Futures,Moathouse Park,CV2 1EA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Haus of Kraft Workshops,Caring City,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Home Spun Community Workshops,Love Coventry,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
How to Put on Live Events,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,-,-
Into The Woods,Green Futures,Wyken Croft Nature Park,CV2 3AB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Presnece Poetry Festival Workshops,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Unticketed,-,-
PYF Urban Jungle Workshops,Caring City,Coventry University,CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
ToW Belgrade Workshops,Caring City,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
ToW Schools Workshops,Caring City,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
ToW Sound Commission Workshops,Caring City,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Window Wanderland - BSL Workshop,Love Coventry,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Window Wanderland Attleborough,Love Coventry,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Window Wanderland Care Home Workshops,Love Coventry,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Window Wanderland Foleshill Creates Workshop,Love Coventry,Foleshill Community Centre,CV6 5AJ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Window Wanderland School and YP Workshops,Love Coventry,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
Woodland Library,Green Futures,Canley Ford,CV5 6QN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,-,-
