IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
29,29,35-49,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Strongly disagree,Strongly disagree,Strongly agree,City looks so much nicer now and more independent artists to continue,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,,Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,"Historic, progressive, friendly and beautiful",,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,"Art gallery, events that went on in the city and Empire/ Festival Gardens, the big weekend",,CV23FS,,No,Any Other White Background,Gay Woman/Lesbian,No,Lifestyle,Upper Stoke,South East,CATI,5 - Urban Adversity,0.9769288
30,30,65+,Male,Yes,No,No,No,No,No,Disagree,Disagree,Disagree,Agree,"Coventry has a long history of culture, I think it should do more overall in terms of putting on cultural events.",,Assembly/festival garden to stay,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Not sure,Agree,Strongly agree,Agree,Agree,Museums and galleries,,Live events,Live music,,Cinema,,Faith-based cultural activities,,1-2,,Lack of transport,,,Feeling unsafe being out at night,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,The opportunity to show off my city,"Lady Godiva, Sky Blues, Cathedral City, Proud of being a Coventrian.",,Definitely,Somewhat,Definitely,Definitely,Somewhat,Very important,Very important,Very important,Very important,Very important,Very important,Don't know / Not sure,Very important,Not sure,,,CV21BP,,"Yes, limited a lot",White – British,Other,No,RDD,Henley,North East,CATI,5 - Urban Adversity,1.3454213
31,31,20-34,Male,Yes,Yes,Not sure,No,No,No,Disagree,Agree,Agree,Agree,"Coventry advertised or talked about more, so it would recognised",,,,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Strongly agree,Not sure,Agree,Agree,Agree,Not sure,,,Live events,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,3-4,,,,,,,,,,,Events which are free,,Events which are low cost,,,,Fairly likely,The opportunity to show off my city,home.,,Definitely,Somewhat,Somewhat,Definitely,Definitely,Fairly important,Very important,Fairly important,Fairly important,Not very important,Fairly important,Fairly important,Fairly important,Not sure,,,CV1 3GT,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,Lifestyle,Sherbourne,South West,CATI,5 - Urban Adversity,1.3299953
32,32,35-49,Male,Yes,No,No,No,Yes,No,Disagree,Disagree,Strongly agree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,,Faith-based cultural activities,,7-8,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Visiting the city and seeing existing attractions,,Don't know,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Agree,,Don't know,cv2 3va,,No,Any Other Asian Background,Heterosexual/Straight,No,Lifestyle,Upper Stoke,South East,CATI,Prefer not to say / Unable to code,0.9535254
33,33,65+,Male,Yes,No,No,No,No,No,Agree,Agree,Disagree,Strongly disagree,more investment in shops to attract visitors rather than student buildings,,,,Shops/restaurants e.g. variety,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Museums and galleries,,,,Theatre,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,The cost,,The events that are on don't appeal to me,,Feeling unsafe being out at night,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not likely at all,,"'Dump'. University life, destroyed culture of the city.",,Not at all,Not at all,Not at all,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Fairly important,Not very important,Strongly disagree,,,CV6 2NR,,No,White – British,Other,No,RDD,Bablake,North West,CATI,3 - Comfortable Communities,1.0893226
34,34,50-64,Female,Yes,No,No,No,No,No,Strongly agree,Disagree,Strongly agree,Strongly disagree,I would like shops in the city centre,,,,Shops/restaurants e.g. variety,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,Theatre,Cinema,,,,3-4,,,,,,,,,,,,,,,,None of these / Would not attend,Not likely at all,,Disgusting needs cleaning up,,Not at all,Not at all,Not at all,Not at all,Not at all,Fairly important,Fairly important,Not at all important,Not at all important,Fairly important,Very important,Not at all important,Not at all important,Agree,More fountains and gardens in the precinct. I've seen the statues,,CV66JN,,No,White – British,Heterosexual/Straight,No,RDD,Holbrook,North West,CATI,5 - Urban Adversity,1.2132465
35,35,50-64,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Strongly agree,The festival gardens to stay if possible and more entertainment,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Not sure,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,The opportunity to show off my city,Lots of events,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Strongly agree,"he art gallery, new subway by the old fire station. The centre of Coventry more prettier with the water feature and the art on the side of the buildings in town.",,cv4 9aw,,No,White – British,Heterosexual/Straight,No,Lifestyle,Westwood,South West,CATI,5 - Urban Adversity,0.8615715
36,36,65+,Male,Yes,Yes,Yes,No,Yes,No,Disagree,Disagree,Disagree,Strongly agree,"A lot of shops in town are closed, and it would be good to open up a lot of shops again so that the city can see more business.",,,,Shops/restaurants e.g. variety,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,,,,,,Extremely likely,The opportunity to show off my city,My city.,,Definitely,Not Sure,Somewhat,Definitely,Definitely,Very important,Very important,Fairly important,Very important,Very important,Don't know / Not sure,Very important,Very important,Strongly agree,"In the city centre, they've got fountains there, bronze statues, the art galleries are easy to get into, the car museum too.",,CV23FN,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wyken,North East,CATI,4 - Financially Stretched,1.3454213
37,37,65+,Female,Yes,Yes,No,No,No,No,Disagree,Disagree,Disagree,Agree,"I'd like to see more of what was going on. More cultural activities happening on a regular basis. I'd like to see the Assembly Festival Gardens continue on. It was disassembled before, and I would like to see it remain as a permanent fixture.",,Assembly/festival garden to stay,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Shopping is appalling, Far too student lead, not enough done for the homeless, too many shops of the same type.",,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Strongly agree,The whole idea of having a city of culture did a lot to support the cities wellbeing and economy. It's been a very important issue and I hope it continues.,,CV22NJ,,No,White – British,Heterosexual/Straight,No,RDD,Henley,North East,CATI,3 - Comfortable Communities,1.2332594
38,38,65+,Female,Yes,No,No,No,Yes,No,Strongly disagree,Not sure,Not sure,Not sure,Well if they are going to do something then advertise it.,,,,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,,,,,,,,,None of these,,,,The events that are on don't appeal to me,Location,Feeling unsafe being out at night,,Any other reason,,Events that are based on my interests,Events that involve family and friends,,Events across different times of the day in different places in the city,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,It's not... not a place I would go out of my way to go to,,Not at all,Not at all,Not at all,Not at all,Not at all,Don't know / Not sure,Don't know / Not sure,Not at all important,Not at all important,Don't know / Not sure,Not at all important,Not at all important,Not at all important,Disagree,,,CV3 2PH,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,Lifestyle,Binley and Willenhall,South East,CATI,4 - Financially Stretched,1.3299649
39,39,35-49,Male,Yes,No,No,Yes,Yes,Not sure,Strongly agree,Strongly agree,Strongly agree,Disagree,"prefer the investment to be done in more permanent things, not enough being done for the residents of coventry",,,,,,,,,,,,Investment/development/funding,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Agree,Disagree,,,,,,Cinema,,,,3-4,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,wasted potential,,Not at all,Not at all,Not at all,Not at all,Not at all,Not very important,Fairly important,Very important,Very important,Very important,Very important,Not very important,Not at all important,Strongly disagree,,,cv6 3ge,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,Lifestyle,Radford,North West,CATI,4 - Financially Stretched,1.0107265
40,40,20-34,Male,Yes,No,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Agree,"They carry on doing the different activities that go on. For example, there used to be things like Youth Clubs in Coventry, and there aren't many more.",,,,,More activities for families/children/young people,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Visiting the city and seeing existing attractions,"Small, diverse, student city",,Definitely,Somewhat,Somewhat,Definitely,Definitely,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Disagree,,,CV65GJ,,"Yes, limited a lot",Asian or Asian British – Pakistani,Heterosexual/Straight,No,RDD,St Michael's,South East,CATI,4 - Financially Stretched,0.9355968
41,41,65+,Female,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Disagree,Disagree,Agree,Keep up the momentum of the interest that has been generated.,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,,,Faith-based cultural activities,,7-8,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,Home.,,Somewhat,Somewhat,Somewhat,Somewhat,Definitely,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Disagree,,,CV2 5HW,,No,White – British,Heterosexual/Straight,No,Lifestyle,Lower Stoke,South East,CATI,5 - Urban Adversity,1.3299649
